date	lon	lat	lowLon	higLon	lowLat	higLat
6/4/2003	203.98	19.5	203.98	203.98	19.5	19.5
6/6/2003	203.47	20.849	203.0222903	203.9177097	20.07164551	21.62635449
6/7/2003	203.398	21.523	202.9627483	203.8332517	20.74412902	22.30187098
6/8/2003	203.343	21.643	202.9104818	203.7755182	20.86703608	22.41896392
6/9/2003	204.051	21.804	203.6183385	204.4836615	21.02174684	22.58625316
6/10/2003	204.656	22.412	204.2208127	205.0911873	21.61887958	23.20512042
6/11/2003	204.814	22.89	204.3788311	205.2491689	22.09323153	23.68676847
6/12/2003	205.592	23.16	205.1577835	206.0262165	22.34939529	23.97060471
6/13/2003	206.286	23.508	205.8511943	206.7208057	22.6899291	24.3260709
6/14/2003	206.985	23.651	206.5511844	207.4188156	22.83017115	24.47182885
6/15/2003	208.171	23.435	207.7394725	208.6025275	22.61290511	24.25709489
6/16/2003	209.124	23.081	208.6936792	209.5543208	22.24915867	23.91284133
6/17/2003	208.952	22.916	208.5207089	209.3832911	22.06740115	23.76459885
6/18/2003	209.621	22.909	209.1890278	210.0529722	22.04493982	23.77306018
6/19/2003	209.481	22.822	209.0491991	209.9128009	21.94418453	23.69981547
6/20/2003	209.905	22.933	209.4721074	210.3378926	22.04303371	23.82296629
6/21/2003	210.409	23.272	209.9745532	210.8434468	22.37257796	24.17142204
6/22/2003	211.484	23.55	211.049765	211.918235	22.64815744	24.45184256
6/23/2003	212.571	23.519	212.1386946	213.0033054	22.6178008	24.4201992
6/24/2003	213.612	23.39	213.1805049	214.0434951	22.48496961	24.29503039
6/25/2003	213.185	23.132	212.75421	213.61579	22.21775714	24.04624286
6/26/2003	213.936	22.867	213.5060558	214.3659442	21.93120088	23.80279912
6/27/2003	214.91	22.485	214.4812017	215.3387983	21.53912474	23.43087526
6/28/2003	215.727	22.087	215.298589	216.155411	21.13553797	23.03846203
6/29/2003	216.091	21.607	215.6632851	216.5187149	20.65413065	22.55986935
6/30/2003	215.89	21.339	215.4609219	216.3190781	20.38390838	22.29409162
7/1/2003	217.376	21.191	216.9466423	217.8053577	20.2341301	22.1478699
7/2/2003	217.948	21.227	217.5173447	218.3786553	20.27570614	22.17829386
7/3/2003	218.24	21.345	217.8083891	218.6716109	20.4035543	22.2864457
7/4/2003	219.063	21.586	218.6306205	219.4953795	20.65242622	22.51957378
7/5/2003	219.341	21.666	218.9093752	219.7726248	20.74246332	22.58953668
7/6/2003	220.165	21.639	219.7340986	220.5959014	20.72318342	22.55481658
7/7/2003	220.815	21.833	220.3827362	221.2472638	20.92485904	22.74114096
7/8/2003	221.667	22.12	221.2340104	222.0999896	21.2215569	23.0184431
7/9/2003	222.309	22.462	221.8754288	222.7425712	21.57392343	23.35007657
7/10/2003	222.738	22.818	222.3039032	223.1720968	21.93625174	23.69974826
7/11/2003	223.002	23.166	222.5676453	223.4363547	22.29270738	24.03929262
7/12/2003	223.865	23.414	223.4311337	224.2988663	22.55068082	24.27731918
7/13/2003	224.588	23.487	224.155052	225.020948	22.63649427	24.33750573
7/14/2003	225.447	23.6	225.0137657	225.8802343	22.76195466	24.43804534
7/15/2003	226.667	23.969	226.2321299	227.1018701	23.14202963	24.79597037
7/16/2003	227.631	24.121	227.1970599	228.0649401	23.3065554	24.9354446
7/17/2003	227.619	24.237	227.1849125	228.0530875	23.42748162	25.04651838
7/18/2003	227.998	24.15	227.5651259	228.4308741	23.34710524	24.95289476
7/19/2003	228.847	23.834	228.4156625	229.2783375	23.03954421	24.62845579
7/20/2003	229.515	23.628	229.0831111	229.9468889	22.84620719	24.40979281
7/21/2003	230.188	23.706	229.754498	230.621502	22.93653265	24.47546735
7/22/2003	230.883	23.788	230.449295	231.316705	23.02971246	24.54628754
7/23/2003	231.836	24.046	231.4011897	232.2708103	23.29710748	24.79489252
7/24/2003	232.049	24.21	231.6142495	232.4837505	23.47116308	24.94883692
7/25/2003	232.862	24.257	232.4277604	233.2962396	23.52657547	24.98742453
7/26/2003	233.228	24.278	232.7938341	233.6621659	23.55675108	24.99924892
7/27/2003	233.785	24.092	233.3519503	234.2180497	23.37595531	24.80804469
7/28/2003	234.026	23.812	233.5936298	234.4583702	23.0906679	24.5333321
7/29/2003	234.629	23.153	234.1988047	235.0591953	22.37752595	23.92847405
7/30/2003	234.686	22.896	234.2543103	235.1176897	22.1191345	23.6728655
7/31/2003	234.959	23.027	234.5254472	235.3925528	22.27437792	23.77962208
8/1/2003	235.553	23.509	235.1233769	235.9826231	22.84125753	24.17674247
8/2/2003	235.78	23.56	235.78	235.78	23.56	23.56
