date	lon	lat	lowLon	higLon	lowLat	higLat
7/6/2003	203.92	19.78	203.92	203.92	19.78	19.78
7/8/2003	203.15	21.094	202.5178639	203.7821361	20.40025653	21.78774347
7/9/2003	203.43	21.579	202.8171509	204.0428491	20.89973569	22.25826431
7/10/2003	203.815	21.58	203.2058728	204.4241272	20.90333169	22.25666831
7/11/2003	203.844	21.54	203.2354509	204.4525491	20.86377519	22.21622481
7/12/2003	203.905	21.317	203.297543	204.512457	20.64086392	21.99313608
7/13/2003	203.44	21.219	202.8322764	204.0477236	20.54274561	21.89525439
7/14/2003	203.849	20.81	203.2430099	204.4549901	20.13374561	21.48625439
7/15/2003	203.923	20.632	203.3164029	204.5295971	19.95556819	21.30843181
7/16/2003	203.921	21.043	203.3115511	204.5304489	20.36633169	21.71966831
7/17/2003	203.414	21.011	202.8061612	204.0218388	20.33421348	21.68778652
7/18/2003	203.536	20.781	202.9293469	204.1426531	20.10315046	21.45884954
7/19/2003	203.877	20.713	203.2722224	204.4817776	20.04220942	21.38379058
7/20/2003	203.751	20.595	203.1725711	204.3294289	19.97235725	21.21764275
7/21/2003	203.72	19.72	203.72	203.72	19.72	19.72
