date	lon	lat	lowLon	higLon	lowLat	higLat
7/25/2000	203.95	19.37	203.95	203.95	19.37	19.37
7/26/2000	203.376	20.588	203.3759851	203.3760149	20.58796738	20.58803262
7/27/2000	203.18	20.488	203.1799852	203.1800148	20.48796738	20.48803262
7/28/2000	203	20.388	202.9999852	203.0000148	20.38796738	20.38803262
7/29/2000	202.89	20.488	202.8899852	202.8900148	20.48796738	20.48803262
7/30/2000	202.52	20.388	202.5199852	202.5200148	20.38796738	20.38803262
8/1/2000	202.32	20.188	202.3199852	202.3200148	20.18796738	20.18803262
8/2/2000	202.17	20.088	202.1699852	202.1700148	20.08796738	20.08803262
8/3/2000	202.14	20.188	202.1399852	202.1400148	20.18796738	20.18803262
8/4/2000	202.12	20.188	202.1199852	202.1200148	20.18796738	20.18803262
8/5/2000	202.13	19.988	202.1299852	202.1300148	19.98796738	19.98803262
8/6/2000	202.36	20.088	202.3599852	202.3600148	20.08796738	20.08803262
8/7/2000	202.38	20.488	202.3799852	202.3800148	20.48796738	20.48803262
8/8/2000	202.34	20.888	202.3399852	202.3400148	20.88796738	20.88803262
8/9/2000	202.32	20.888	202.3199852	202.3200148	20.88796738	20.88803262
8/10/2000	202.42	21.088	202.4199852	202.4200148	21.08796738	21.08803262
8/11/2000	202.4	20.988	202.3999852	202.4000148	20.98796738	20.98803262
8/12/2000	202.33	21.088	202.3299852	202.3300148	21.08796738	21.08803262
8/13/2000	202.34	20.788	202.3399852	202.3400148	20.78796738	20.78803262
8/14/2000	202.32	20.288	202.3199852	202.3200148	20.28796738	20.28803262
8/15/2000	202.2	20.288	202.1999852	202.2000148	20.28796738	20.28803262
8/16/2000	202	20.088	201.9999852	202.0000148	20.08796738	20.08803262
8/17/2000	201.96	20.188	201.9599852	201.9600148	20.18796738	20.18803262
8/18/2000	201.761	19.688	201.7609852	201.7610148	19.68796738	19.68803262
8/19/2000	201.61	19.388	201.6099852	201.6100148	19.38796738	19.38803262
8/20/2000	201.371	18.988	201.3709852	201.3710148	18.98796738	18.98803262
8/21/2000	201.27	18.688	201.2699852	201.2700148	18.68796738	18.68803262
8/22/2000	201.12	18.988	201.1199852	201.1200148	18.98796738	18.98803262
8/23/2000	200.96	19.188	200.9599852	200.9600148	19.18796738	19.18803262
8/24/2000	200.98	19.788	200.9799851	200.9800149	19.78796738	19.78803262
8/25/2000	200.79	19.688	200.7899852	200.7900148	19.68796738	19.68803262
8/26/2000	200.84	20.188	200.8399851	200.8400149	20.18796738	20.18803262
8/27/2000	200.85	20.188	200.8499852	200.8500148	20.18796738	20.18803262
8/28/2000	200.999	19.688	200.9989852	200.9990148	19.68796738	19.68803262
8/29/2000	201.06	19.488	201.0599852	201.0600148	19.48796738	19.48803262
8/30/2000	201.16	19.488	201.1599852	201.1600148	19.48796738	19.48803262
8/31/2000	201.29	19.288	201.2899852	201.2900148	19.28796738	19.28803262
9/1/2000	201.35	18.488	201.3499853	201.3500147	18.48796738	18.48803262
9/2/2000	201.45	17.688	201.4499853	201.4500147	17.68796738	17.68803262
9/3/2000	201.41	16.988	201.4099853	201.4100147	16.98796738	16.98803262
9/4/2000	201.34	16.188	201.3399853	201.3400147	16.18796738	16.18803262
9/5/2000	201.19	15.988	201.1899852	201.1900148	15.98796738	15.98803262
9/6/2000	201.09	16.088	201.0899852	201.0900148	16.08796738	16.08803262
9/7/2000	201.02	16.988	201.0199851	201.0200149	16.98796738	16.98803262
9/8/2000	200.869	17.688	200.8689851	200.8690149	17.68796738	17.68803262
9/9/2000	200.709	18.688	200.7089851	200.7090149	18.68796738	18.68803262
9/10/2000	200.64	19.488	200.6399851	200.6400149	19.48796738	19.48803262
9/11/2000	200.57	19.788	200.5699852	200.5700148	19.78796738	19.78803262
9/12/2000	200.45	19.688	200.4499852	200.4500148	19.68796738	19.68803262
9/13/2000	200.39	19.688	200.3899852	200.3900148	19.68796738	19.68803262
9/14/2000	200.179	20.288	200.1789851	200.1790149	20.28796738	20.28803262
9/15/2000	200.14	20.188	200.1399852	200.1400148	20.18796738	20.18803262
9/16/2000	199.49	21.44	199.49	199.49	21.44	21.44
