date	lon	lat	lowLon	higLon	lowLat	higLat
1/31/2005	198.99	9.11	198.99	198.99	9.11	9.11
2/2/2005	199.232	8.8026	198.6190693	199.8449307	7.458710124	10.14648988
2/3/2005	198.818	8.6315	198.2246199	199.4113801	7.134716783	10.12828322
2/4/2005	198.939	8.3983	198.3471554	199.5308446	6.813206943	9.983393057
2/5/2005	198.956	8.2536	198.3639831	199.5480169	6.604103107	9.903096893
2/6/2005	198.868	8.2326	198.2754935	199.4605065	6.532647059	9.932552941
2/7/2005	199.63	8.2673	199.0372471	200.2227529	6.525117461	10.00948254
2/8/2005	199.422	8.093	198.8300777	200.0139223	6.313427018	9.872572982
2/9/2005	200.121	7.732	199.5302581	200.7117419	5.932611215	9.531388785
2/10/2005	200.089	7.3589	199.4985121	200.6794879	5.5371975	9.1806025
2/11/2005	201.055	6.9642	200.464739	201.645261	5.115806103	8.812593897
2/12/2005	201.725	6.5088	201.1350712	202.3149288	4.629768334	8.387831666
2/13/2005	202.508	5.969	201.9187632	203.0972368	4.075632629	7.862367371
2/14/2005	203.214	5.5084	202.6244883	203.8035117	3.596312136	7.420487864
2/15/2005	203.768	5.0661	203.1784375	204.3575625	3.13453069	6.99766931
2/16/2005	204.039	4.7366	203.4490237	204.6289763	2.785661764	6.687538236
2/17/2005	204.408	4.5311	203.8176171	204.9983829	2.562923179	6.499276821
2/18/2005	204.599	4.3488	204.0084477	205.1895523	2.366367151	6.331232849
2/19/2005	205.391	4.0197	204.8009864	205.9810136	2.038185428	6.001214572
2/20/2005	205.751	3.7263	205.1610508	206.3409492	1.761693169	5.690906831
2/21/2005	206.001	3.4852	205.4109017	206.5910983	1.543736634	5.426663366
2/22/2005	206.215	3.2946	205.6246645	206.8053355	1.38650147	5.20269853
2/23/2005	206.391	3.1227	205.8006238	206.9813762	1.272629731	4.972770269
2/24/2005	206.761	3.0442	206.1704274	207.3515726	1.283915932	4.804484068
2/25/2005	206.197	3.1069	205.6062276	206.7877724	1.481280118	4.732519882
2/26/2005	206.154	3.2724	205.5639797	206.7440203	1.852371831	4.692428169
2/27/2005	205.131	3.5306	204.5571986	205.7048014	2.451971241	4.609228759
2/28/2005	204.99	3.81	204.99	204.99	3.81	3.81
