date	lon	lat	lowLon	higLon	lowLat	higLat
7/25/2000	203.95	19.37	203.95	203.95	19.37	19.37
7/26/2000	203.512	21.772	203.5080015	203.5159985	21.4416184	22.1023816
7/27/2000	203.46	21.9	203.4597027	203.4602973	21.56432754	22.23567246
7/28/2000	203.47	21.994	203.469882	203.470118	21.65277866	22.33522134
7/29/2000	203.51	21.603	203.5093691	203.5106309	21.25594957	21.95005043
7/30/2000	203.64	21.394	203.6393937	203.6406063	21.0408145	21.7471855
7/31/2000	204.266	20.702	204.2635503	204.2684497	20.34235017	21.06164983
8/1/2000	204.399	20.197	204.398003	204.399997	19.83054673	20.56345327
8/2/2000	204.499	19.503	204.4978234	204.5001766	19.12936917	19.87663083
8/3/2000	204.729	19.01	204.7277898	204.7302102	18.62880189	19.39119811
8/4/2000	205.04	19.088	205.0393746	205.0406254	18.69881624	19.47718376
8/5/2000	205.019	18.494	205.0182295	205.0197705	18.09637706	18.89162294
8/6/2000	205.078	17.578	205.0765768	205.0794232	17.17144865	17.98455135
8/7/2000	205.498	15.477	205.4941525	205.5018475	15.061	15.893
8/8/2000	206.162	12.204	206.1563217	206.1676783	11.77797653	12.63002347
8/9/2000	206.689	9.1172	206.6841642	206.6938358	8.680539949	9.553860051
8/10/2000	207.129	6.8182	207.1255436	207.1324564	6.370244645	7.266155355
8/11/2000	207.755	5.3019	207.752562	207.757438	4.841930436	5.761869564
8/12/2000	208.276	3.8644	208.2739167	208.2780833	3.391633673	4.337166327
8/13/2000	208.509	4.9293	208.5078829	208.5101171	4.44288454	5.41571546
8/14/2000	208.344	7.0679	208.3412308	208.3467692	6.566897006	7.568902994
8/15/2000	208.529	8.1002	208.5279186	208.5300814	7.58358796	8.61681204
8/16/2000	208.96	9.1351	208.9593078	208.9606922	8.601748334	9.668451666
8/17/2000	209.358	8.2209	209.3562965	209.3597035	7.669559815	8.772240185
8/18/2000	209.32	7.9005	209.3196524	209.3203476	7.329788164	8.471211836
8/19/2000	209.44	4.9888	209.4361473	209.4438527	4.397188641	5.580411359
8/20/2000	209.999	4.208	209.9975291	210.0004709	3.593778542	4.822221458
8/21/2000	210.14	3.6098	210.1391439	210.1408561	2.971051223	4.248548777
8/22/2000	209.954	1.1732	209.9509025	209.9570975	0.507797866	1.838602134
8/23/2000	210.069	1.9678	210.0679392	210.0700608	1.273336178	2.662263822
8/24/2000	210.08	2.2156	210.0796442	210.0803558	1.489321816	2.941878184
8/25/2000	210.597	4.2388	210.5944474	210.5995526	3.477590436	5.000009564
8/26/2000	211.07	4.0318	211.0692298	211.0707702	3.232100056	4.831499944
8/27/2000	211.439	5.4573	211.4374897	211.4405103	4.615041132	6.299558868
8/28/2000	212.26	7.5101	212.2587887	212.2612113	6.620515827	8.399684173
8/29/2000	212.878	6.7591	212.8758602	212.8801398	5.816677589	7.701522411
8/30/2000	212.92	6.5126	212.9196344	212.9203656	5.510841546	7.514358454
8/31/2000	213.32	7.0847	213.319755	213.320245	6.015925	8.153475
9/1/2000	213.5	8.1851	213.4992423	213.5007577	7.040110917	9.330089083
9/2/2000	213.71	8.6844	213.7098864	213.7101136	7.45200396	9.91679604
9/3/2000	213.73	8.6847	213.7299083	213.7300917	7.351088362	10.01831164
9/4/2000	213.82	8.9809	213.819928	213.820072	7.52855018	10.43324982
9/5/2000	214.221	9.4987	214.2199074	214.2220926	7.904623465	11.09277654
9/6/2000	214.76	9.3776	214.7570784	214.7629216	7.609923559	11.14527644
9/7/2000	214.859	8.136	214.8569403	214.8610597	6.147452792	10.12454721
9/8/2000	215.332	5.5282	215.3263489	215.3376511	3.248463173	7.807936827
9/9/2000	216.136	4.1162	216.1315651	216.1404349	1.463050928	6.769349072
9/10/2000	216.46	3.9758	216.458778	216.461222	0.923849804	7.027750196
9/11/2000	217.212	4.6525	217.2080601	217.2159399	1.343361139	7.961638861
9/12/2000	217.834	5.6242	217.8276125	217.8403875	2.411786577	8.836613423
9/13/2000	218.771	6.8004	218.7602743	218.7817257	4.215443521	9.385356479
9/14/2000	228.98	8.628	228.98	228.98	8.628	8.628
