date	lon	lat	lowLon	higLon	lowLat	higLat
7/11/2003	203.932	19.694	203.932	203.932	19.694	19.694
7/12/2003	204.034	18.92	202.4684586	205.5995414	17.47872279	20.36127721
7/13/2003	203.996	18.217	202.0842469	205.9077531	16.86714075	19.56685925
7/15/2003	204.613	19.454	202.3479614	206.8780386	17.92236036	20.98563964
7/18/2003	204.949	19.114	202.7424643	207.1555357	17.61827275	20.60972725
7/19/2003	205.475	19.086	203.3173161	207.6326839	17.5884687	20.5835313
7/21/2003	206.899	18.316	204.7823045	209.0156955	16.4352342	20.1967658
7/22/2003	207.846	18.033	205.8066864	209.8853136	16.5733014	19.4926986
7/23/2003	207.886	17.804	205.8029253	209.9690747	16.38186077	19.22613923
7/25/2003	208.693	18.462	206.6159829	210.7700171	16.88879944	20.03520056
7/26/2003	209.174	19.162	207.1386131	211.2093869	17.36996205	20.95403795
7/27/2003	209.595	19.738	207.5941002	211.5958998	18.20654318	21.26945682
7/28/2003	209.99	20.168	207.9797264	212.0002736	18.40203284	21.93396716
7/29/2003	210.517	20.57	208.514202	212.519798	19.07874549	22.06125451
7/30/2003	211.072	20.639	209.0287673	213.1152327	18.87879547	22.39920453
7/31/2003	211.641	20.832	209.5445268	213.7374732	19.32676912	22.33723088
8/2/2003	212.689	20.958	210.5078077	214.8701923	19.501772	22.414228
8/3/2003	213.304	21.23	211.0468336	215.5611664	19.73912106	22.72087894
8/7/2003	215.088	21.635	212.8119508	217.3640492	20.01639566	23.25360434
8/8/2003	215.445	21.425	213.2231989	217.6668011	19.3356939	23.5143061
8/10/2003	216.592	21.049	214.4514393	218.7325607	18.81642301	23.28157699
8/11/2003	217.225	20.991	215.1659711	219.2840289	19.02151276	22.96048724
8/12/2003	218.023	21.065	216.0034951	220.0425049	19.72255447	22.40744553
8/13/2003	219.196	21.467	217.1690812	221.2229188	20.18012782	22.75387218
8/14/2003	220.527	21.378	218.4570242	222.5969758	19.71541166	23.04058834
8/15/2003	222.397	21.347	220.2488845	224.5451155	19.97534407	22.71865593
8/18/2003	221.517	22.742	219.3012383	223.7327617	20.87158828	24.61241172
8/19/2003	221.635	23.285	219.5327155	223.7372845	22.06616449	24.50383551
8/20/2003	221.828	23.559	219.7617958	223.8942042	21.98334775	25.13465225
8/21/2003	222.274	23.878	220.2274419	224.3205581	22.76170255	24.99429745
8/22/2003	222.702	24.024	220.643554	224.760446	22.94013654	25.10786346
8/23/2003	222.981	23.729	220.8627932	225.0992068	22.59900885	24.85899115
8/25/2003	223.547	23.265	221.3980468	225.6959532	21.52056886	25.00943114
8/26/2003	223.484	22.978	221.3912506	225.5767494	21.80737623	24.14862377
8/27/2003	223.623	23.145	221.4698628	225.7761372	21.30263196	24.98736804
8/29/2003	224.162	23.593	222.0181716	226.3058284	21.74062855	25.44537145
8/30/2003	224.511	23.902	222.4513884	226.5706116	22.70198333	25.10201667
8/31/2003	225	24.166	222.9518789	227.0481211	22.5992071	25.7327929
9/1/2003	225.261	24.445	223.2314188	227.2905812	23.36459267	25.52540733
9/2/2003	225.355	23.884	223.3332186	227.3767814	22.83538186	24.93261814
9/3/2003	225.259	22.341	223.2253825	227.2926175	21.28338003	23.39861997
9/4/2003	225.335	21.047	223.2438759	227.4261241	19.92617887	22.16782113
9/6/2003	226.157	20.794	223.9414188	228.3725812	19.60633001	21.98166999
9/8/2003	227.011	20.207	224.8754907	229.1465093	18.20440169	22.20959831
9/9/2003	227.426	19.971	225.3755366	229.4764634	18.16849064	21.77350936
9/10/2003	227.83	19.796	225.8248067	229.8351933	18.74296629	20.84903371
9/11/2003	228.434	20.61	226.4163776	230.4516224	19.6208994	21.5991006
9/12/2003	228.816	20.584	226.8007581	230.8312419	19.64510703	21.52289297
9/13/2003	229.456	22.381	227.4067074	231.5052926	21.43345581	23.32854419
9/14/2003	229.711	21.991	227.6537202	231.7682798	21.02916841	22.95283159
9/15/2003	230.022	21.883	227.892493	232.151507	20.02746773	23.73853227
9/17/2003	230.441	21.757	228.3077396	232.5742604	19.42891065	24.08508935
9/18/2003	230.686	21.743	228.617764	232.754236	19.52967671	23.95632329
9/19/2003	230.869	21.771	228.8226374	232.9153626	19.93387181	23.60812819
9/20/2003	231.03	21.834	228.9825626	233.0774374	20.92113637	22.74686363
9/21/2003	231.212	21.604	229.1433773	233.2806227	20.7650006	22.4429994
9/22/2003	231.24	21.193	229.1048653	233.3751347	20.29562605	22.09037395
9/24/2003	231.134	20.207	228.97576	233.29224	18.13944105	22.27455895
9/27/2003	231.25	18.83	231.25	231.25	18.83	18.83
