date	lon	lat	lowLon	higLon	lowLat	higLat
6/7/2003	203.917	19.783	203.917	203.917	19.783	19.783
7/7/2003	204.333	18.396	203.4218469	205.2441531	16.38572639	20.40627361
7/9/2003	203.617	18.458	202.8486251	204.3853749	16.67248047	20.24351953
7/10/2003	203.645	18.45	202.9231967	204.3668033	16.75759343	20.14240657
7/11/2003	203.292	18.33	202.5806351	204.0033649	16.70009203	19.95990797
7/12/2003	202.903	18.164	202.1932395	203.6127605	16.56523798	19.76276202
7/13/2003	202.722	17.97	202.0072413	203.4367587	16.3734412	19.5665588
7/14/2003	202.664	17.776	201.9154815	203.4125185	16.15419853	19.39780147
7/16/2003	202.726	17.431	201.9773479	203.4746521	15.74637541	19.11562459
7/17/2003	202.708	17.364	201.9907274	203.4252726	15.63625002	19.09174998
7/18/2003	202.153	17.297	201.4356159	202.8703841	15.56483373	19.02916627
7/19/2003	201.829	17.144	201.0762716	202.5817284	15.38369321	18.90430679
7/21/2003	201.529	16.866	200.7226998	202.3353002	15.03318795	18.69881205
7/23/2003	203.227	16.707	202.3801234	204.0738766	14.81033978	18.60366022
7/27/2003	202.733	16.51	201.9460311	203.5199689	14.60530055	18.41469945
7/28/2003	202.827	16.488	202.1031492	203.5508508	14.60218983	18.37381017
7/29/2003	202.519	16.47	201.8006408	203.2373592	14.58674749	18.35325251
7/30/2003	202.607	16.512	201.8553884	203.3586116	14.61445422	18.40954578
8/1/2003	202.669	16.7	201.9081584	203.4298416	14.77294006	18.62705994
8/2/2003	202.177	16.74	201.416658	202.937342	14.80219712	18.67780288
8/4/2003	201.542	16.644	200.7916134	202.2923866	14.68341845	18.60458155
8/5/2003	201.221	16.496	200.5047877	201.9372123	14.51904274	18.47295726
8/6/2003	201.758	16.364	201.0398914	202.4761086	14.39579269	18.33220731
8/7/2003	201.604	16.159	200.8366409	202.3713591	14.18001036	18.13798964
8/10/2003	200.671	15.438	199.9059641	201.4360359	13.44232468	17.43367532
8/11/2003	200.254	15.162	199.5414272	200.9665728	13.16688597	17.15711403
8/12/2003	200.503	14.858	199.8008889	201.2051111	12.84673174	16.86926826
8/13/2003	200.336	14.514	199.6353146	201.0366854	12.47066939	16.55733061
8/14/2003	200.108	14.183	199.4066584	200.8093416	12.12990478	16.23609522
8/15/2003	199.895	13.8	199.1817539	200.6082461	11.72365706	15.87634294
8/16/2003	199.813	13.383	199.031156	200.594844	11.26904636	15.49695364
8/21/2003	199.13	11.393	198.3507183	199.9092817	9.205032907	13.58096709
8/22/2003	199.189	10.975	198.4791549	199.8988451	8.783379595	13.16662041
8/23/2003	198.876	10.537	198.1790925	199.5729075	8.320787014	12.75321299
8/24/2003	198.628	10.111	197.931954	199.324046	7.849230781	12.37276922
8/25/2003	198.368	9.7092	197.6648357	199.0711643	7.383775308	12.03462469
8/26/2003	198.18	9.3315	197.4379218	198.9220782	6.925840007	11.73715999
8/28/2003	197.868	8.5989	197.0560394	198.6799606	6.071767237	11.12603276
8/31/2003	197.682	7.5314	196.9239763	198.4400237	4.909568579	10.15323142
9/1/2003	197.488	7.1937	196.7825073	198.1934927	4.540400168	9.846999832
9/2/2003	197.457	6.9127	196.760638	198.153362	4.219152154	9.606247846
9/3/2003	197.287	6.6867	196.5899204	197.9840796	3.946845989	9.426554011
9/4/2003	197.169	6.5206	196.4612147	197.8767853	3.730761295	9.310438705
9/5/2003	197.289	6.363	196.5302115	198.0477885	3.530545234	9.195454766
9/8/2003	197.83	6.007	197.0702895	198.5897105	3.080022036	8.933977964
9/9/2003	198.114	5.8977	197.4051982	198.8228018	2.953621197	8.841778803
9/10/2003	198.406	5.7983	197.7058	199.1062	2.843101191	8.753498809
9/11/2003	198.679	5.709	197.9732522	199.3847478	2.748594622	8.669405378
9/12/2003	199.012	5.6485	198.2659705	199.7580295	2.687891954	8.609108046
9/14/2003	199.679	5.5775	198.8343462	200.5236538	2.634848135	8.520151865
9/19/2003	199.874	5.4524	199.0870565	200.6609435	2.686970558	8.217829442
9/20/2003	199.931	5.4362	199.2070387	200.6549613	2.731093717	8.141306283
9/21/2003	200.009	5.4279	199.2625953	200.7554047	2.791614735	8.064185265
9/23/2003	199.719	5.4159	198.9249975	200.5130025	2.947540221	7.884259779
9/25/2003	199.567	5.4005	198.7644291	200.3695709	3.150433334	7.650566666
9/27/2003	199.566	5.3749	198.7232426	200.4087574	3.411138304	7.338661696
10/2/2003	200.16	5.3	200.16	200.16	5.3	5.3
