date	lon	lat	lowLon	higLon	lowLat	higLat
9/21/2003	235.607	19.895	235.0921602	236.1218398	18.40007525	21.38992475
9/22/2003	236.228	19.391	235.7100039	236.7459961	17.84730314	20.93469686
9/23/2003	237.23	18.927	236.7112862	237.7487138	17.20930387	20.64469613
9/24/2003	237.135	18.396	236.6178579	237.6521421	16.62137891	20.17062109
9/25/2003	237.038	17.86	236.5221667	237.5538333	16.13258575	19.58741425
9/26/2003	236.318	17.267	235.803895	236.832105	15.70051349	18.83348651
9/27/2003	236.326	16.891	235.8082665	236.8437335	15.35245523	18.42954477
9/28/2003	236.66	16.459	236.1427689	237.1772311	14.91224857	18.00575143
9/29/2003	237.229	15.898	236.7129845	237.7450155	14.31209962	17.48390038
9/30/2003	237.448	15.236	236.9329155	237.9630845	13.57116367	16.90083633
10/1/2003	237.155	14.517	236.6404555	237.6695445	12.73436151	16.29963849
10/2/2003	237.293	13.847	236.7783739	237.8076261	11.89500615	15.79899385
10/3/2003	237.896	13.14	237.3830205	238.4089795	11.09148835	15.18851165
10/4/2003	238.115	12.457	237.6028321	238.6271679	10.37171824	14.54228176
10/5/2003	238.28	11.859	237.7662569	238.7937431	9.654005669	14.06399433
10/6/2003	238.138	11.318	237.6243464	238.6516536	9.035632808	13.60036719
10/7/2003	238.451	10.951	237.9361796	238.9658204	8.570411837	13.33158816
10/8/2003	238.812	10.676	238.2967447	239.3272553	8.223409533	13.12859047
10/9/2003	239.702	10.577	239.1847109	240.2192891	8.063038982	13.09096102
10/10/2003	239.235	10.376	238.6909338	239.7790662	7.815062672	12.93693733
10/14/2003	239.463	10.238	238.9172675	240.0087325	7.69666177	12.77933823
10/15/2003	239.027	10.129	238.5094287	239.5445713	7.640707413	12.61729259
10/16/2003	239.307	10.072	238.7899778	239.8240222	7.634050042	12.50994996
10/17/2003	238.743	9.8848	238.2271008	239.2588992	7.49532307	12.27427693
10/18/2003	238.622	9.7891	238.1053647	239.1386353	7.445769037	12.13243096
10/19/2003	238.655	9.7494	238.1378888	239.1721112	7.45026973	12.04853027
10/20/2003	238.635	9.6878	238.1181248	239.1518752	7.429127824	11.94647218
10/21/2003	239.195	9.6317	238.6783222	239.7116778	7.41070923	11.85269077
10/22/2003	238.989	9.2623	238.4748327	239.5031673	7.078999746	11.44560025
10/23/2003	239.248	8.9173	238.7337744	239.7622256	6.767974524	11.06662548
10/24/2003	239.61	8.645	239.0952418	240.1247582	6.528587942	10.76141206
10/25/2003	240.147	8.4763	239.6315468	240.6624532	6.393033334	10.55956667
10/26/2003	241.985	8.3965	241.4691822	242.5008178	6.343307364	10.44969264
10/27/2003	242.803	8.0871	242.2885527	243.3174473	6.06640705	10.10779295
10/28/2003	241.359	7.4468	240.8452763	241.8727237	5.461171636	9.432428364
10/29/2003	242.521	7.0703	242.0070272	243.0349728	5.12251151	9.01808849
10/30/2003	242.474	6.5158	241.9604087	242.9875913	4.61387466	8.41772534
10/31/2003	242.722	6.0343	242.2081051	243.2358949	4.177959514	7.890640486
11/1/2003	242.806	5.6051	242.2918366	243.3201634	3.792312092	7.417887908
11/2/2003	243.116	5.2482	242.6015916	243.6304084	3.47270007	7.02369993
11/3/2003	243.755	4.7636	243.2410662	244.2689338	3.052518471	6.474681529
11/4/2003	244.756	4.6289	244.2406128	245.2713872	3.021056724	6.236743276
11/5/2003	245.101	4.8124	244.569504	245.632496	3.374415299	6.250384701
11/7/2003	245.141	5.615	245.141	245.141	5.615	5.615
